"company","sum"
"Starship Technologies","30"
"Nav","30"
"Embroker","30"
"Tanium","30"
"Skai","30"
"Fittr","30"
"CTO.ai","30"
"Impala","30"
"Vesalius Therapeutics","29"
"Matrixport","29"
"Lattice","29"
"Chessable","29"
"Shef","29"
"Plato","29"
"Uncapped","29"
"Apartment List","29"
"Cadre","28"
"Quanto","28"
"Tally","28"
"Moovel","28"
"Zum","28"
"SellerX","28"
"Betterment","28"
"Stint","28"
"Demandbase","27"
"Transmit Security","27"
"PayJoy","27"
"Lithic","27"
"Sendle","27"
"Vendease","27"
"SafeGraph","27"
"LearnUpon","27"
"Preply","26"
"Lucira Health","26"
"Foxtrot","26"
"Integrate.ai","26"
"Humu","26"
"Briza","26"
"Wordstream","26"
"Artnight","26"
"Eaze","25"
"Armis","25"
"ResearchGate","25"
"HighRadius","25"
"Workable","25"
"Code42","25"
"BVAccel","25"
"Vise","25"
"Loja Integrada","25"
"UpScalio","25"
"IRL","25"
"Pear Therapeutics ","25"
"Brainly","25"
"Loftsmart","25"
"Kickstarter","25"
"Heroes","24"
"TIFIN","24"
"Drop","24"
"Thirty Madison","24"
"Stax","24"
"Exterro","24"
"Cogito","24"
"Revelate","24"
"Flipboard","24"
"Sourcegraph","24"
"Truiloo","24"
"SundaySky","24"
"CrowdStreet","24"
"Transfix","24"
"Tonkean","23"
"Allbirds","23"
"GoSpotCheck","23"
"Genome Medical","23"
"BusBud","23"
"Dover","23"
"Stedi","23"
"Antidote Health","23"
"Kuda","23"
"Splice","23"
"Dukaan","23"
"Superhuman","23"
"Legible","23"
"Aspire","23"
"GoBear","22"
"CommonBond","22"
"Citrine Informatics","22"
"Pipl","22"
"Sherpa","22"
"Magic Eden","22"
"InVision","22"
"Credit Sesame","22"
"Clyde","22"
"TextNow","22"
"Teamwork","21"
"Gitpod","21"
"VideoAmp","21"
"Pocketmath","21"
"Shakepay","21"
"Albert","20"
"Caliva","20"
"Addepar","20"
"The Sill","20"
"Drip","20"
"Immutable","20"
"Tamara Mellon","20"
"Perion","20"
"Argyle","20"
"Quidax","20"
"Thimble","20"
"Shipsi","20"
"JetClosing","20"
"TravelBank","20"
"InfoSum","20"
"Augury","20"
"Bleacher Report","20"
"Stream","20"
"Eatsy","20"
"GrayMeta","20"
"Ocavu","20"
"C2FO","20"
"Perimeter 81","20"
"Sales Boomerang","20"
"Privitar","20"
"Crayon","20"
"AngelList","20"
"Opal","20"
"NuoDB","20"
"Xentral","20"
"CoinTracker","19"
"UPshow","19"
"AU10TIX","19"
"Stytch","19"
"Intersect","19"
"#Paid","19"
"Yonder","18"
"Glitch","18"
"Sharethrough","18"
"Lendis","18"
"Homebot","18"
"Pana","18"
"Opencare","18"
"HealthMatch","18"
"Tidepool","18"
"Rows","18"
"Kenoby","18"
"Sensibill","17"
"Amplero","17"
"Clearbanc","17"
"G2","17"
"Connected","17"
"Anagram","17"
"Zenoti","17"
"Top Hat","16"
"Finite State","16"
"OFFOR Health","16"
"Rhumbix","16"
"ContraFect","16"
"Baton","16"
"Koinly","16"
"Help.com","16"
"Usermind","15"
"Clarify Health","15"
"Airtame","15"
"Kodiak Robotics","15"
"Horizn Studios","15"
"Loop","15"
"Forma.ai","15"
"Teleport","15"
"DataStax","15"
"Vouch","15"
"Triplebyte","15"
"Atlas Obscura ","15"
"Borrowell","15"
"Koho","15"
"Tulip Retail","14"
"OpenWeb","14"
"Finleap Connect","14"
"Lighthouse Labs","14"
"G/O Media Group","14"
"Trove Recommerce","13"
"Arc","13"
"Syte","13"
"Consider.co","13"
"Bridgit","13"
"Tor","13"
"Substack","13"
"Limelight","13"
"Amperity","13"
"Politico / Protocol","13"
"The Org","13"
"Ladder Life","13"
"Descartes Labs","12"
"MakerBot","12"
"Jama","12"
"Kongregate","12"
"DSCO","12"
"Dooly","12"
"Abra","12"
"CNET","12"
"BookClub","12"
"Hedvig","12"
"Pliops","12"
"100 Thieves","12"
"Loopio","11"
"Compete","11"
"Venngage","11"
"Anywell","11"
"GetNinjas","11"
"Welkin Health","10"
"Polarr","10"
"Tripbam","10"
"CoinJar","10"
"Forward","10"
"Xerpa","10"
"Her Campus Media","10"
"Ike","10"
"Swyft","10"
"Humble","10"
"Digital Currency Gruop","10"
"Dotscience","10"
"Tapps Games","10"
"Bringg","10"
"Element Analytics","10"
"PerkSpot","10"
"&Open","9"
"Iris Nova","9"
"BitOasis","9"
"Incredible Health","9"
"N26","9"
"HopSkipDrive","8"
"CodeCombat","8"
"Voyage SMS","8"
"Docly","8"
"LoopMe","8"
"Kinde","8"
"Expert360","7"
"Coding Dojo","7"
"Simon Data","6"
"Instamojo","6"
"Jiobit","6"
"Dark","6"
"Atsu","6"
"Panda Squad","6"
"Aya","5"
"Synergysuite","5"
"Woven","5"
"Geekwire","5"
"DialSource","5"
"Avantage Entertainment","5"
"Havenly","5"
"TutorMundi","4"
"Spyce","4"
"Flytedesk","4"
"Branch","3"
